Timestamp,ActiveRequests,Lag_ms,VirtualLimit,Status
2026-02-09T05:58:41.613Z,0,716.00,50,OK
2026-02-09T05:58:41.663Z,0,20.27,50,OK
2026-02-09T05:58:41.714Z,0,20.24,50,OK
2026-02-09T05:58:41.764Z,0,20.28,50,OK
2026-02-09T05:58:41.814Z,0,20.26,50,OK
2026-02-09T05:58:41.864Z,0,20.31,50,OK
2026-02-09T05:58:41.914Z,0,20.28,50,OK
2026-02-09T05:58:41.964Z,0,20.34,50,OK
2026-02-09T05:58:42.015Z,0,20.41,50,OK
2026-02-09T05:58:42.065Z,0,20.78,50,OK
2026-02-09T05:58:42.115Z,0,20.14,50,OK
2026-02-09T05:58:42.165Z,0,20.32,50,OK
2026-02-09T05:58:42.215Z,0,20.31,50,OK
2026-02-09T05:58:42.267Z,0,20.33,50,OK
2026-02-09T05:58:42.317Z,0,20.32,50,OK
2026-02-09T05:58:42.369Z,0,20.59,50,OK
2026-02-09T05:58:42.419Z,0,20.29,50,OK
2026-02-09T05:58:42.469Z,0,20.73,50,OK
2026-02-09T05:58:42.519Z,0,20.34,50,OK
2026-02-09T05:58:42.569Z,0,19.87,50,OK
2026-02-09T05:58:42.619Z,0,20.28,50,OK
2026-02-09T05:58:42.669Z,0,20.22,50,OK
2026-02-09T05:58:42.719Z,0,20.28,50,OK
2026-02-09T05:58:42.770Z,0,20.26,50,OK
2026-02-09T05:58:42.821Z,0,20.47,50,OK
2026-02-09T05:58:42.871Z,0,20.34,50,OK
2026-02-09T05:58:42.921Z,0,20.53,50,OK
2026-02-09T05:58:42.971Z,0,20.19,50,OK
2026-02-09T05:58:43.021Z,0,20.38,50,OK
2026-02-09T05:58:43.071Z,0,20.23,50,OK
2026-02-09T05:58:43.121Z,0,20.25,50,OK
2026-02-09T05:58:43.171Z,0,20.16,50,OK
2026-02-09T05:58:43.221Z,0,20.19,50,OK
2026-02-09T05:58:43.271Z,0,20.18,50,OK
2026-02-09T05:58:43.321Z,0,20.27,50,OK
2026-02-09T05:58:43.372Z,0,20.28,50,OK
2026-02-09T05:58:43.422Z,0,20.28,50,OK
2026-02-09T05:58:43.472Z,0,20.36,50,OK
2026-02-09T05:58:43.522Z,0,20.27,50,OK
2026-02-09T05:58:43.573Z,0,20.26,50,OK
2026-02-09T05:58:43.623Z,0,20.24,50,OK
2026-02-09T05:58:43.673Z,0,20.23,50,OK
2026-02-09T05:58:43.723Z,0,20.35,50,OK
2026-02-09T05:58:43.774Z,0,20.21,50,OK
2026-02-09T05:58:43.825Z,0,20.26,50,OK
2026-02-09T05:58:43.875Z,0,20.28,50,OK
2026-02-09T05:58:43.926Z,0,20.23,50,OK
2026-02-09T05:58:43.976Z,0,20.18,50,OK
2026-02-09T05:58:44.026Z,0,20.14,50,OK
2026-02-09T05:58:44.077Z,0,20.29,50,OK
2026-02-09T05:58:44.127Z,0,20.19,50,OK
2026-02-09T05:58:44.178Z,0,20.18,50,OK
2026-02-09T05:58:44.227Z,0,20.23,50,OK
2026-02-09T05:58:44.278Z,0,20.23,50,OK
2026-02-09T05:58:44.329Z,0,20.21,50,OK
2026-02-09T05:58:44.379Z,0,20.17,50,OK
2026-02-09T05:58:44.429Z,0,20.31,50,OK
2026-02-09T05:58:44.480Z,0,20.41,50,OK
2026-02-09T05:58:44.530Z,0,20.19,50,OK
2026-02-09T05:58:44.581Z,0,20.21,50,OK
2026-02-09T05:58:44.631Z,0,20.24,50,OK
2026-02-09T05:58:44.682Z,0,19.71,50,OK
2026-02-09T05:58:44.732Z,0,20.28,50,OK
2026-02-09T05:58:44.783Z,0,20.72,50,OK
2026-02-09T05:58:44.834Z,0,20.23,50,OK
2026-02-09T05:58:44.885Z,0,20.00,50,OK
2026-02-09T05:58:44.935Z,0,20.34,50,OK
2026-02-09T05:58:44.985Z,0,20.30,50,OK
2026-02-09T05:58:45.036Z,0,20.23,50,OK
2026-02-09T05:58:45.086Z,0,20.38,50,OK
2026-02-09T05:58:45.136Z,0,20.23,50,OK
2026-02-09T05:58:45.186Z,0,19.98,50,OK
2026-02-09T05:58:45.237Z,0,20.19,50,OK
2026-02-09T05:58:45.288Z,0,20.57,50,OK
2026-02-09T05:58:45.338Z,0,20.28,50,OK
2026-02-09T05:58:45.389Z,0,20.65,50,OK
2026-02-09T05:58:45.439Z,0,20.54,50,OK
2026-02-09T05:58:45.489Z,0,20.60,50,OK
2026-02-09T05:58:45.539Z,0,20.37,50,OK
2026-02-09T05:58:45.590Z,0,20.14,50,OK
2026-02-09T05:58:45.641Z,0,20.26,50,OK
2026-02-09T05:58:45.691Z,0,20.20,50,OK
2026-02-09T05:58:45.742Z,0,20.64,50,OK
2026-02-09T05:58:45.792Z,0,20.28,50,OK
2026-02-09T05:58:45.844Z,0,20.28,50,OK
2026-02-09T05:58:45.894Z,0,20.59,50,OK
2026-02-09T05:58:45.944Z,0,20.31,50,OK
2026-02-09T05:58:45.995Z,0,20.20,50,OK
2026-02-09T05:58:46.046Z,0,20.23,50,OK
2026-02-09T05:58:46.097Z,0,20.56,50,OK
2026-02-09T05:58:46.147Z,0,20.32,50,OK
2026-02-09T05:58:46.197Z,0,20.52,50,OK
2026-02-09T05:58:46.249Z,0,20.26,50,OK
2026-02-09T05:58:46.299Z,0,20.43,50,OK
2026-02-09T05:58:46.349Z,0,20.28,50,OK
2026-02-09T05:58:46.400Z,0,20.30,50,OK
2026-02-09T05:58:46.450Z,0,20.16,50,OK
2026-02-09T05:58:46.500Z,0,19.82,50,OK
2026-02-09T05:58:46.550Z,0,20.39,50,OK
2026-02-09T05:58:46.601Z,0,20.85,50,OK
2026-02-09T05:58:46.651Z,0,20.23,50,OK
2026-02-09T05:58:46.701Z,0,19.96,50,OK
2026-02-09T05:58:46.751Z,0,20.25,50,OK
2026-02-09T05:58:46.802Z,0,19.93,50,OK
2026-02-09T05:58:46.852Z,0,20.19,50,OK
2026-02-09T05:58:46.903Z,0,19.91,50,OK
2026-02-09T05:58:46.953Z,0,20.16,50,OK
2026-02-09T05:58:47.004Z,0,19.78,50,OK
2026-02-09T05:58:47.055Z,0,19.70,50,OK
2026-02-09T05:58:47.104Z,0,20.09,50,OK
2026-02-09T05:58:47.155Z,0,20.34,50,OK
2026-02-09T05:58:47.205Z,0,19.55,50,OK
2026-02-09T05:58:47.255Z,0,19.71,50,OK
2026-02-09T05:58:47.306Z,0,19.99,50,OK
2026-02-09T05:58:47.356Z,0,20.49,50,OK
2026-02-09T05:58:47.406Z,0,20.78,50,OK
2026-02-09T05:58:47.456Z,0,20.55,50,OK
2026-02-09T05:58:47.506Z,0,20.44,50,OK
2026-02-09T05:58:47.557Z,0,20.46,50,OK
2026-02-09T05:58:47.607Z,0,19.95,50,OK
2026-02-09T05:58:47.658Z,0,20.53,50,OK
2026-02-09T05:58:47.709Z,0,19.78,50,OK
2026-02-09T05:58:47.759Z,0,20.33,50,OK
2026-02-09T05:58:47.809Z,0,20.77,50,OK
2026-02-09T05:58:47.860Z,0,20.32,50,OK
2026-02-09T05:58:47.910Z,0,20.83,50,OK
2026-02-09T05:58:47.961Z,0,20.02,50,OK
2026-02-09T05:58:48.012Z,0,20.95,50,OK
