Timestamp,ActiveRequests,Lag_ms,VirtualLimit,Status
2026-02-05T19:31:21.274Z,0,22.39,21,OK
2026-02-05T19:31:21.324Z,0,21.51,22,OK
2026-02-05T19:31:21.373Z,0,21.13,23,OK
2026-02-05T19:31:21.424Z,0,20.94,24,OK
2026-02-05T19:31:21.475Z,0,20.83,25,OK
2026-02-05T19:31:21.525Z,0,20.78,26,OK
2026-02-05T19:31:21.576Z,0,20.73,27,OK
2026-02-05T19:31:21.627Z,0,20.64,28,OK
2026-02-05T19:31:21.677Z,0,20.62,29,OK
2026-02-05T19:31:21.728Z,0,20.57,30,OK
2026-02-05T19:31:21.779Z,0,20.37,31,OK
2026-02-05T19:31:21.830Z,0,20.32,32,OK
2026-02-05T19:31:21.880Z,0,20.31,33,OK
2026-02-05T19:31:21.931Z,0,20.30,34,OK
2026-02-05T19:31:21.981Z,0,20.31,35,OK
2026-02-05T19:31:22.030Z,0,20.29,36,OK
2026-02-05T19:31:22.081Z,0,20.27,37,OK
2026-02-05T19:31:22.131Z,0,20.29,38,OK
2026-02-05T19:31:22.182Z,0,20.27,39,OK
2026-02-05T19:31:22.233Z,0,20.30,40,OK
2026-02-05T19:31:22.282Z,0,20.31,41,OK
2026-02-05T19:31:22.333Z,0,20.33,42,OK
2026-02-05T19:31:22.384Z,0,20.32,43,OK
2026-02-05T19:31:22.435Z,0,20.32,44,OK
2026-02-05T19:31:22.485Z,0,20.24,45,OK
2026-02-05T19:31:22.536Z,0,20.25,46,OK
2026-02-05T19:31:22.587Z,0,20.31,47,OK
2026-02-05T19:31:22.637Z,0,20.31,48,OK
2026-02-05T19:31:22.687Z,0,20.31,49,OK
2026-02-05T19:31:22.736Z,0,20.29,50,OK
2026-02-05T19:31:22.787Z,0,20.28,50,OK
2026-02-05T19:31:22.837Z,0,20.28,50,OK
2026-02-05T19:31:22.887Z,0,20.30,50,OK
2026-02-05T19:31:22.938Z,0,20.30,50,OK
2026-02-05T19:31:22.989Z,0,20.35,50,OK
2026-02-05T19:31:23.039Z,0,20.35,50,OK
2026-02-05T19:31:23.089Z,0,20.31,50,OK
2026-02-05T19:31:23.140Z,0,20.34,50,OK
2026-02-05T19:31:23.191Z,0,20.35,50,OK
2026-02-05T19:31:23.241Z,0,20.35,50,OK
2026-02-05T19:31:23.292Z,0,20.35,50,OK
2026-02-05T19:31:23.343Z,0,20.36,50,OK
2026-02-05T19:31:23.394Z,0,20.38,50,OK
2026-02-05T19:31:23.443Z,0,20.39,50,OK
2026-02-05T19:31:23.494Z,0,20.44,50,OK
2026-02-05T19:31:23.545Z,0,20.43,50,OK
2026-02-05T19:31:23.595Z,0,20.43,50,OK
2026-02-05T19:31:23.645Z,0,20.44,50,OK
2026-02-05T19:31:23.695Z,0,20.43,50,OK
2026-02-05T19:31:23.745Z,0,20.44,50,OK
2026-02-05T19:31:23.795Z,0,20.45,50,OK
2026-02-05T19:31:23.844Z,0,20.46,50,OK
2026-02-05T19:31:23.895Z,0,20.45,50,OK
2026-02-05T19:31:23.945Z,0,20.46,50,OK
2026-02-05T19:31:23.996Z,0,20.42,50,OK
2026-02-05T19:31:24.047Z,0,20.42,50,OK
2026-02-05T19:31:24.097Z,0,20.41,50,OK
2026-02-05T19:31:24.146Z,0,20.39,50,OK
2026-02-05T19:31:24.197Z,0,20.38,50,OK
2026-02-05T19:31:24.246Z,0,20.37,50,OK
2026-02-05T19:31:24.297Z,0,20.35,50,OK
2026-02-05T19:31:24.348Z,0,20.32,50,OK
2026-02-05T19:31:24.398Z,0,20.35,50,OK
2026-02-05T19:31:24.448Z,0,20.32,50,OK
2026-02-05T19:31:24.498Z,0,20.30,50,OK
2026-02-05T19:31:24.549Z,0,20.29,50,OK
2026-02-05T19:31:24.600Z,0,20.28,50,OK
2026-02-05T19:31:24.650Z,0,20.27,50,OK
2026-02-05T19:31:24.700Z,0,20.27,50,OK
2026-02-05T19:31:24.751Z,0,20.27,50,OK
2026-02-05T19:31:24.801Z,0,20.27,50,OK
2026-02-05T19:31:24.850Z,0,20.27,50,OK
2026-02-05T19:31:24.901Z,0,20.22,50,OK
2026-02-05T19:31:24.951Z,0,20.23,50,OK
2026-02-05T19:31:24.998Z,0,20.23,50,OK
2026-02-05T19:31:25.048Z,0,20.24,50,OK
2026-02-05T19:31:25.098Z,0,20.27,50,OK
2026-02-05T19:31:25.148Z,0,20.31,50,OK
2026-02-05T19:31:25.199Z,0,20.35,50,OK
2026-02-05T19:31:25.249Z,0,20.36,50,OK
2026-02-05T19:31:25.299Z,0,20.41,50,OK
2026-02-05T19:31:25.349Z,0,20.40,50,OK
2026-02-05T19:31:25.400Z,0,20.42,50,OK
2026-02-05T19:31:25.450Z,0,20.42,50,OK
2026-02-05T19:31:25.500Z,0,20.44,50,OK
2026-02-05T19:31:25.551Z,0,20.44,50,OK
2026-02-05T19:31:25.601Z,0,20.42,50,OK
2026-02-05T19:31:25.650Z,0,20.39,50,OK
2026-02-05T19:31:25.701Z,0,20.35,50,OK
2026-02-05T19:31:25.750Z,0,20.35,50,OK
2026-02-05T19:31:25.800Z,0,20.31,50,OK
2026-02-05T19:31:25.850Z,0,20.34,50,OK
2026-02-05T19:31:25.900Z,0,20.36,50,OK
2026-02-05T19:31:25.950Z,0,20.37,50,OK
2026-02-05T19:31:26.001Z,0,20.31,50,OK
2026-02-05T19:31:26.052Z,0,20.32,50,OK
2026-02-05T19:31:26.102Z,0,20.34,50,OK
2026-02-05T19:31:26.153Z,0,20.33,50,OK
2026-02-05T19:31:26.203Z,0,20.31,50,OK
2026-02-05T19:31:26.253Z,0,20.33,50,OK
2026-02-05T19:31:26.303Z,0,20.36,50,OK
2026-02-05T19:31:26.353Z,0,20.36,50,OK
2026-02-05T19:31:26.404Z,0,20.33,50,OK
2026-02-05T19:31:26.455Z,0,20.34,50,OK
2026-02-05T19:31:26.505Z,0,20.37,50,OK
2026-02-05T19:31:26.556Z,0,20.35,50,OK
2026-02-05T19:31:26.607Z,0,20.34,50,OK
2026-02-05T19:31:26.657Z,0,20.34,50,OK
2026-02-05T19:31:26.708Z,0,20.39,50,OK
2026-02-05T19:31:26.757Z,0,20.39,50,OK
2026-02-05T19:31:26.808Z,0,20.34,50,OK
2026-02-05T19:31:26.857Z,0,20.32,50,OK
2026-02-05T19:31:26.908Z,0,20.32,50,OK
2026-02-05T19:31:26.958Z,0,20.32,50,OK
2026-02-05T19:31:27.008Z,0,20.37,50,OK
2026-02-05T19:31:27.058Z,0,20.38,50,OK
2026-02-05T19:31:27.109Z,0,20.43,50,OK
2026-02-05T19:31:27.160Z,0,20.42,50,OK
2026-02-05T19:31:27.211Z,0,20.39,50,OK
2026-02-05T19:31:27.262Z,0,20.36,50,OK
2026-02-05T19:31:27.311Z,0,20.35,50,OK
2026-02-05T19:31:27.361Z,0,20.35,50,OK
2026-02-05T19:31:27.412Z,0,20.35,50,OK
2026-02-05T19:31:27.462Z,0,20.38,50,OK
2026-02-05T19:31:27.513Z,0,20.34,50,OK
2026-02-05T19:31:27.563Z,0,20.33,50,OK
2026-02-05T19:31:27.613Z,0,20.28,50,OK
2026-02-05T19:31:27.664Z,0,20.29,50,OK
2026-02-05T19:31:27.714Z,0,20.33,50,OK
2026-02-05T19:31:27.763Z,0,20.33,50,OK
2026-02-05T19:31:27.814Z,0,20.36,50,OK
2026-02-05T19:31:27.865Z,0,20.37,50,OK
2026-02-05T19:31:27.916Z,0,20.40,50,OK
2026-02-05T19:31:27.967Z,0,20.38,50,OK
2026-02-05T19:31:28.018Z,0,20.37,50,OK
2026-02-05T19:31:28.069Z,0,20.38,50,OK
2026-02-05T19:31:28.120Z,0,20.41,50,OK
2026-02-05T19:31:28.170Z,0,20.40,50,OK
2026-02-05T19:31:28.221Z,0,20.41,50,OK
2026-02-05T19:31:28.272Z,0,20.43,50,OK
2026-02-05T19:31:28.322Z,0,20.44,50,OK
2026-02-05T19:31:28.373Z,0,20.44,50,OK
2026-02-05T19:31:28.422Z,0,20.34,50,OK
2026-02-05T19:31:28.473Z,0,20.33,50,OK
2026-02-05T19:31:28.524Z,0,20.32,50,OK
2026-02-05T19:31:28.573Z,0,20.30,50,OK
2026-02-05T19:31:28.623Z,0,20.19,50,OK
2026-02-05T19:31:28.673Z,0,20.19,50,OK
2026-02-05T19:31:28.723Z,0,20.18,50,OK
2026-02-05T19:31:28.774Z,0,20.16,50,OK
2026-02-05T19:31:28.824Z,0,20.19,50,OK
2026-02-05T19:31:28.874Z,0,20.18,50,OK
2026-02-05T19:31:28.925Z,0,20.28,50,OK
2026-02-05T19:31:28.976Z,0,20.29,50,OK
2026-02-05T19:31:29.026Z,0,20.34,50,OK
2026-02-05T19:31:29.076Z,0,20.35,50,OK
2026-02-05T19:31:29.127Z,0,20.40,50,OK
2026-02-05T19:31:29.178Z,0,20.40,50,OK
2026-02-05T19:31:29.227Z,0,20.38,50,OK
2026-02-05T19:31:29.278Z,0,20.38,50,OK
2026-02-05T19:31:29.328Z,0,20.29,50,OK
2026-02-05T19:31:29.379Z,0,20.29,50,OK
2026-02-05T19:31:29.429Z,0,20.24,50,OK
2026-02-05T19:31:29.480Z,0,20.23,50,OK
2026-02-05T19:31:29.530Z,0,20.19,50,OK
2026-02-05T19:31:29.580Z,0,20.19,50,OK
2026-02-05T19:31:29.631Z,0,20.27,50,OK
2026-02-05T19:31:29.682Z,0,20.29,50,OK
2026-02-05T19:31:29.731Z,0,20.23,50,OK
2026-02-05T19:31:29.781Z,0,20.26,50,OK
2026-02-05T19:31:29.831Z,0,20.26,50,OK
2026-02-05T19:31:29.881Z,0,20.26,50,OK
2026-02-05T19:31:29.931Z,0,20.27,50,OK
2026-02-05T19:31:29.982Z,0,20.26,50,OK
2026-02-05T19:31:30.033Z,0,20.26,50,OK
2026-02-05T19:31:30.082Z,0,20.27,50,OK
2026-02-05T19:31:30.133Z,0,20.23,50,OK
2026-02-05T19:31:30.184Z,0,20.27,50,OK
2026-02-05T19:31:30.234Z,0,20.36,50,OK
2026-02-05T19:31:30.284Z,0,20.35,50,OK
2026-02-05T19:31:30.335Z,0,20.36,50,OK
2026-02-05T19:31:30.385Z,0,20.37,50,OK
2026-02-05T19:31:30.436Z,0,20.41,50,OK
2026-02-05T19:31:30.487Z,0,20.42,50,OK
2026-02-05T19:31:30.538Z,0,20.49,50,OK
2026-02-05T19:31:30.589Z,0,20.46,50,OK
2026-02-05T19:31:30.640Z,0,20.51,50,OK
2026-02-05T19:31:30.690Z,0,20.45,50,OK
2026-02-05T19:31:30.740Z,0,20.40,50,OK
2026-02-05T19:31:30.790Z,0,20.38,50,OK
2026-02-05T19:31:30.840Z,0,20.34,50,OK
2026-02-05T19:31:30.891Z,0,20.33,50,OK
2026-02-05T19:31:30.942Z,0,20.32,50,OK
2026-02-05T19:31:30.992Z,0,20.31,50,OK
2026-02-05T19:31:31.043Z,0,20.32,50,OK
2026-02-05T19:31:31.093Z,0,20.32,50,OK
2026-02-05T19:31:31.143Z,0,20.22,50,OK
2026-02-05T19:31:31.194Z,0,20.21,50,OK
2026-02-05T19:31:31.244Z,0,20.28,50,OK
2026-02-05T19:31:31.294Z,0,20.30,50,OK
2026-02-05T19:31:31.344Z,0,20.31,50,OK
2026-02-05T19:31:31.395Z,0,20.32,50,OK
2026-02-05T19:31:31.444Z,0,20.22,50,OK
2026-02-05T19:31:31.494Z,0,20.23,50,OK
2026-02-05T19:31:31.544Z,0,20.14,50,OK
2026-02-05T19:31:31.595Z,0,20.15,50,OK
2026-02-05T19:31:31.645Z,0,20.17,50,OK
2026-02-05T19:31:31.696Z,0,20.19,50,OK
2026-02-05T19:31:31.746Z,0,20.11,50,OK
2026-02-05T19:31:31.797Z,0,20.11,50,OK
2026-02-05T19:31:31.848Z,0,20.12,50,OK
