Timestamp,ActiveRequests,Lag_ms,VirtualLimit,Status,Kp_Used
2026-02-15T12:10:06.554Z,0,26.63,19,OK,0.1
2026-02-15T12:10:06.604Z,0,23.44,20,OK,0.1
2026-02-15T12:10:06.654Z,0,22.39,21,OK,0.1
2026-02-15T12:10:06.704Z,0,21.89,22,OK,0.1
2026-02-15T12:10:06.755Z,0,21.54,23,OK,0.1
2026-02-15T12:10:06.805Z,0,20.27,24,OK,0.1
2026-02-15T12:10:06.856Z,0,20.28,25,OK,0.1
2026-02-15T12:10:06.907Z,0,20.28,26,OK,0.1
2026-02-15T12:10:06.957Z,0,20.24,27,OK,0.1
2026-02-15T12:10:07.008Z,0,20.30,28,OK,0.1
2026-02-15T12:10:07.059Z,0,20.29,29,OK,0.1
2026-02-15T12:10:07.108Z,0,20.27,30,OK,0.1
2026-02-15T12:10:07.159Z,0,20.29,31,OK,0.1
2026-02-15T12:10:07.209Z,0,20.31,32,OK,0.1
2026-02-15T12:10:07.259Z,0,20.29,33,OK,0.1
2026-02-15T12:10:07.309Z,0,20.25,34,OK,0.1
2026-02-15T12:10:07.360Z,0,20.26,35,OK,0.1
2026-02-15T12:10:07.411Z,0,20.28,36,OK,0.1
2026-02-15T12:10:07.462Z,0,20.27,37,OK,0.1
2026-02-15T12:10:07.512Z,0,20.19,38,OK,0.1
2026-02-15T12:10:07.562Z,0,20.25,39,OK,0.1
2026-02-15T12:10:07.612Z,0,20.22,40,OK,0.1
2026-02-15T12:10:07.662Z,0,20.16,41,OK,0.1
2026-02-15T12:10:07.713Z,0,20.19,42,OK,0.1
2026-02-15T12:10:07.763Z,0,20.23,43,OK,0.1
2026-02-15T12:10:07.813Z,0,20.19,44,OK,0.1
2026-02-15T12:10:07.864Z,0,20.20,45,OK,0.1
2026-02-15T12:10:07.915Z,0,20.23,46,OK,0.1
2026-02-15T12:10:07.966Z,0,20.23,47,OK,0.1
2026-02-15T12:10:08.016Z,0,20.30,48,OK,0.1
2026-02-15T12:10:08.067Z,0,20.43,49,OK,0.1
2026-02-15T12:10:08.117Z,0,20.45,50,OK,0.1
2026-02-15T12:10:08.167Z,0,20.48,50,OK,0.1
2026-02-15T12:10:08.217Z,0,20.48,50,OK,0.1
2026-02-15T12:10:08.268Z,0,20.44,50,OK,0.1
2026-02-15T12:10:08.317Z,0,20.36,50,OK,0.1
2026-02-15T12:10:08.368Z,0,20.39,50,OK,0.1
2026-02-15T12:10:08.418Z,0,20.35,50,OK,0.1
2026-02-15T12:10:08.469Z,0,20.39,50,OK,0.1
2026-02-15T12:10:08.520Z,0,20.36,50,OK,0.1
2026-02-15T12:10:08.570Z,0,20.33,50,OK,0.1
2026-02-15T12:10:08.620Z,0,20.32,50,OK,0.1
2026-02-15T12:10:08.670Z,0,20.34,50,OK,0.1
2026-02-15T12:10:08.721Z,0,20.26,50,OK,0.1
2026-02-15T12:10:08.771Z,0,20.31,50,OK,0.1
2026-02-15T12:10:08.822Z,0,20.35,50,OK,0.1
2026-02-15T12:10:08.873Z,0,20.37,50,OK,0.1
2026-02-15T12:10:08.922Z,0,20.33,50,OK,0.1
2026-02-15T12:10:08.973Z,0,20.33,50,OK,0.1
2026-02-15T12:10:09.024Z,0,20.29,50,OK,0.1
2026-02-15T12:10:09.074Z,0,20.26,50,OK,0.1
2026-02-15T12:10:09.125Z,0,20.27,50,OK,0.1
2026-02-15T12:10:09.174Z,0,20.28,50,OK,0.1
2026-02-15T12:10:09.225Z,0,20.32,50,OK,0.1
2026-02-15T12:10:09.275Z,0,20.36,50,OK,0.1
2026-02-15T12:10:09.325Z,0,20.41,50,OK,0.1
2026-02-15T12:10:09.375Z,0,20.58,50,OK,0.1
2026-02-15T12:10:09.426Z,0,20.57,50,OK,0.1
2026-02-15T12:10:09.476Z,0,20.58,50,OK,0.1
2026-02-15T12:10:09.526Z,0,20.50,50,OK,0.1
2026-02-15T12:10:09.577Z,0,20.47,50,OK,0.1
2026-02-15T12:10:09.627Z,0,20.30,50,OK,0.1
2026-02-15T12:10:09.677Z,0,20.31,50,OK,0.1
2026-02-15T12:10:09.727Z,0,20.25,50,OK,0.1
2026-02-15T12:10:09.777Z,0,20.36,50,OK,0.1
2026-02-15T12:10:09.828Z,0,20.30,50,OK,0.1
2026-02-15T12:10:09.879Z,0,20.30,50,OK,0.1
2026-02-15T12:10:09.929Z,0,20.22,50,OK,0.1
2026-02-15T12:10:09.980Z,0,20.27,50,OK,0.1
2026-02-15T12:10:10.030Z,0,20.29,50,OK,0.1
2026-02-15T12:10:10.080Z,0,20.35,50,OK,0.1
2026-02-15T12:10:10.131Z,0,20.36,50,OK,0.1
2026-02-15T12:10:10.182Z,0,20.45,50,OK,0.1
2026-02-15T12:10:10.232Z,0,20.52,50,OK,0.1
2026-02-15T12:10:10.282Z,0,20.48,50,OK,0.1
2026-02-15T12:10:10.333Z,0,20.54,50,OK,0.1
2026-02-15T12:10:10.383Z,0,20.54,50,OK,0.1
2026-02-15T12:10:10.433Z,0,20.48,50,OK,0.1
2026-02-15T12:10:10.484Z,0,20.38,50,OK,0.1
2026-02-15T12:10:10.535Z,0,20.42,50,OK,0.1
2026-02-15T12:10:10.586Z,0,20.34,50,OK,0.1
2026-02-15T12:10:10.636Z,0,20.29,50,OK,0.1
2026-02-15T12:10:10.687Z,0,20.32,50,OK,0.1
2026-02-15T12:10:10.737Z,0,20.34,50,OK,0.1
2026-02-15T12:10:10.788Z,0,20.36,50,OK,0.1
2026-02-15T12:10:10.839Z,0,20.39,50,OK,0.1
2026-02-15T12:10:10.889Z,0,20.44,50,OK,0.1
2026-02-15T12:10:10.940Z,0,20.48,50,OK,0.1
2026-02-15T12:10:10.991Z,0,20.49,50,OK,0.1
2026-02-15T12:10:11.042Z,0,20.42,50,OK,0.1
2026-02-15T12:10:11.093Z,0,20.47,50,OK,0.1
2026-02-15T12:10:11.143Z,0,20.41,50,OK,0.1
2026-02-15T12:10:11.193Z,0,20.37,50,OK,0.1
2026-02-15T12:10:11.244Z,0,20.37,50,OK,0.1
2026-02-15T12:10:11.293Z,0,20.40,50,OK,0.1
2026-02-15T12:10:11.344Z,0,20.38,50,OK,0.1
2026-02-15T12:10:11.395Z,0,20.44,50,OK,0.1
2026-02-15T12:10:11.445Z,0,20.56,50,OK,0.1
2026-02-15T12:10:11.496Z,0,20.56,50,OK,0.1
2026-02-15T12:10:11.547Z,0,20.41,50,OK,0.1
2026-02-15T12:10:11.597Z,0,20.35,50,OK,0.1
2026-02-15T12:10:11.647Z,0,20.46,50,OK,0.1
2026-02-15T12:10:11.698Z,0,20.37,50,OK,0.1
2026-02-15T12:10:11.749Z,0,20.27,50,OK,0.1
2026-02-15T12:10:11.800Z,0,20.38,50,OK,0.1
2026-02-15T12:10:11.850Z,0,20.35,50,OK,0.1
2026-02-15T12:10:11.901Z,0,20.23,50,OK,0.1
2026-02-15T12:10:11.950Z,0,20.32,50,OK,0.1
2026-02-15T12:10:12.001Z,0,20.40,50,OK,0.1
2026-02-15T12:10:12.050Z,0,20.03,50,OK,0.1
2026-02-15T12:10:12.100Z,0,20.07,50,OK,0.1
2026-02-15T12:10:12.150Z,0,20.02,50,OK,0.1
2026-02-15T12:10:12.200Z,0,19.92,50,OK,0.1
2026-02-15T12:10:12.252Z,0,19.89,50,OK,0.1
2026-02-15T12:10:12.301Z,0,20.26,50,OK,0.1
2026-02-15T12:10:12.351Z,0,20.40,50,OK,0.1
2026-02-15T12:10:12.401Z,0,20.46,50,OK,0.1
2026-02-15T12:10:12.451Z,0,20.42,50,OK,0.1
2026-02-15T12:10:12.502Z,0,20.50,50,OK,0.1
2026-02-15T12:10:12.553Z,0,20.44,50,OK,0.1
2026-02-15T12:10:12.604Z,0,20.30,50,OK,0.1
2026-02-15T12:10:12.655Z,0,20.27,50,OK,0.1
2026-02-15T12:10:12.706Z,0,20.32,50,OK,0.1
2026-02-15T12:10:12.757Z,0,20.34,50,OK,0.1
2026-02-15T12:10:12.808Z,0,20.44,50,OK,0.1
2026-02-15T12:10:12.858Z,0,20.50,50,OK,0.1
2026-02-15T12:10:12.909Z,0,20.53,50,OK,0.1
2026-02-15T12:10:12.959Z,0,20.47,50,OK,0.1
2026-02-15T12:10:13.010Z,0,20.45,50,OK,0.1
2026-02-15T12:10:13.060Z,0,20.45,50,OK,0.1
2026-02-15T12:10:13.110Z,0,20.38,50,OK,0.1
2026-02-15T12:10:13.160Z,0,20.29,50,OK,0.1
2026-02-15T12:10:13.211Z,0,20.24,50,OK,0.1
2026-02-15T12:10:13.261Z,0,20.31,50,OK,0.1
2026-02-15T12:10:13.312Z,0,20.16,50,OK,0.1
2026-02-15T12:10:13.361Z,0,20.19,50,OK,0.1
2026-02-15T12:10:13.411Z,0,20.22,50,OK,0.1
2026-02-15T12:10:13.462Z,0,20.24,50,OK,0.1
2026-02-15T12:10:13.512Z,0,20.12,50,OK,0.1
2026-02-15T12:10:13.563Z,0,20.08,50,OK,0.1
2026-02-15T12:10:13.612Z,0,20.07,50,OK,0.1
2026-02-15T12:10:13.663Z,0,20.00,50,OK,0.1
2026-02-15T12:10:13.713Z,0,20.05,50,OK,0.1
2026-02-15T12:10:13.763Z,0,19.98,50,OK,0.1
2026-02-15T12:10:13.813Z,0,20.13,50,OK,0.1
2026-02-15T12:10:13.864Z,0,20.06,50,OK,0.1
2026-02-15T12:10:13.914Z,0,20.31,50,OK,0.1
2026-02-15T12:10:13.965Z,0,20.26,50,OK,0.1
2026-02-15T12:10:14.016Z,0,20.37,50,OK,0.1
2026-02-15T12:10:14.067Z,0,20.24,50,OK,0.1
2026-02-15T12:10:14.116Z,0,20.32,50,OK,0.1
2026-02-15T12:10:14.167Z,0,20.08,50,OK,0.1
2026-02-15T12:10:14.218Z,0,20.15,50,OK,0.1
2026-02-15T12:10:14.269Z,0,20.07,50,OK,0.1
2026-02-15T12:10:14.319Z,0,20.19,50,OK,0.1
2026-02-15T12:10:14.370Z,0,20.24,50,OK,0.1
2026-02-15T12:10:14.421Z,0,20.36,50,OK,0.1
2026-02-15T12:10:14.472Z,0,20.40,50,OK,0.1
2026-02-15T12:10:14.522Z,0,20.51,50,OK,0.1
2026-02-15T12:10:14.573Z,0,20.42,50,OK,0.1
2026-02-15T12:10:14.624Z,0,20.28,50,OK,0.1
2026-02-15T12:10:14.673Z,0,20.10,50,OK,0.1
2026-02-15T12:10:14.723Z,0,19.95,50,OK,0.1
2026-02-15T12:10:14.774Z,0,19.79,50,OK,0.1
2026-02-15T12:10:14.824Z,0,19.74,50,OK,0.1
2026-02-15T12:10:14.873Z,0,19.72,50,OK,0.1
2026-02-15T12:10:14.924Z,0,19.95,50,OK,0.1
2026-02-15T12:10:14.974Z,0,20.15,50,OK,0.1
2026-02-15T12:10:15.025Z,0,20.32,50,OK,0.1
2026-02-15T12:10:15.074Z,0,20.57,50,OK,0.1
2026-02-15T12:10:15.152Z,1,24.06,50,OK,0.1
2026-02-15T12:10:15.202Z,0,24.01,50,OK,0.1
2026-02-15T12:10:15.252Z,0,23.92,50,OK,0.1
2026-02-15T12:10:15.303Z,0,23.88,50,OK,0.1
2026-02-15T12:10:15.354Z,0,23.75,50,OK,0.1
2026-02-15T12:10:15.404Z,0,20.33,50,OK,0.1
2026-02-15T12:10:15.454Z,0,20.29,50,OK,0.1
2026-02-15T12:10:15.505Z,0,20.27,50,OK,0.1
2026-02-15T12:10:15.555Z,0,20.26,50,OK,0.1
2026-02-15T12:10:15.605Z,0,20.26,50,OK,0.1
2026-02-15T12:10:15.655Z,0,20.29,50,OK,0.1
2026-02-15T12:10:15.706Z,0,20.30,50,OK,0.1
2026-02-15T12:10:15.757Z,0,20.32,50,OK,0.1
2026-02-15T12:10:15.806Z,0,20.30,50,OK,0.1
2026-02-15T12:10:15.856Z,0,20.32,50,OK,0.1
2026-02-15T12:10:15.907Z,0,20.28,50,OK,0.1
2026-02-15T12:10:15.956Z,0,20.16,50,OK,0.1
2026-02-15T12:10:16.007Z,0,20.14,50,OK,0.1
2026-02-15T12:10:16.058Z,0,20.10,50,OK,0.1
2026-02-15T12:10:16.108Z,0,20.11,50,OK,0.1
2026-02-15T12:10:16.158Z,0,20.13,50,OK,0.1
2026-02-15T12:10:16.208Z,0,20.22,50,OK,0.1
2026-02-15T12:10:16.259Z,0,20.23,50,OK,0.1
2026-02-15T12:10:16.308Z,0,20.26,50,OK,0.1
2026-02-15T12:10:16.358Z,0,20.23,50,OK,0.1
2026-02-15T12:10:16.408Z,0,20.25,50,OK,0.1
2026-02-15T12:10:16.459Z,0,20.27,50,OK,0.1
2026-02-15T12:10:16.508Z,0,20.26,50,OK,0.1
2026-02-15T12:10:16.558Z,0,20.26,50,OK,0.1
2026-02-15T12:10:16.608Z,0,20.25,50,OK,0.1
2026-02-15T12:10:16.658Z,0,20.24,50,OK,0.1
2026-02-15T12:10:16.708Z,0,20.23,50,OK,0.1
2026-02-15T12:10:16.758Z,0,20.24,50,OK,0.1
2026-02-15T12:10:16.808Z,0,20.29,50,OK,0.1
2026-02-15T12:10:16.859Z,0,20.33,50,OK,0.1
2026-02-15T12:10:16.909Z,0,20.30,50,OK,0.1
2026-02-15T12:10:16.960Z,0,20.29,50,OK,0.1
2026-02-15T12:10:17.010Z,0,20.25,50,OK,0.1
2026-02-15T12:10:17.061Z,0,20.19,50,OK,0.1
2026-02-15T12:10:17.111Z,0,20.13,50,OK,0.1
2026-02-15T12:10:17.162Z,0,20.17,50,OK,0.1
2026-02-15T12:10:17.314Z,0,31.33,49,OK,0.1
2026-02-15T12:10:17.365Z,0,31.39,48,OK,0.1
2026-02-15T12:10:17.416Z,0,31.44,47,OK,0.1
2026-02-15T12:10:17.467Z,0,31.51,46,OK,0.1
2026-02-15T12:10:17.517Z,0,31.50,45,OK,0.1
2026-02-15T12:10:17.567Z,0,20.36,46,OK,0.1
2026-02-15T12:10:17.617Z,0,20.34,47,OK,0.1
2026-02-15T12:10:17.667Z,0,20.36,48,OK,0.1
2026-02-15T12:10:17.717Z,0,20.35,49,OK,0.1
2026-02-15T12:10:17.767Z,0,20.48,50,OK,0.1
2026-02-15T12:10:17.818Z,0,20.48,50,OK,0.1
2026-02-15T12:10:17.868Z,0,20.46,50,OK,0.1
2026-02-15T12:10:17.918Z,0,20.41,50,OK,0.1
2026-02-15T12:10:17.968Z,0,20.39,50,OK,0.1
2026-02-15T12:10:18.018Z,0,20.33,50,OK,0.1
2026-02-15T12:10:18.068Z,0,20.33,50,OK,0.1
2026-02-15T12:10:18.118Z,0,20.37,50,OK,0.1
2026-02-15T12:10:18.169Z,0,20.35,50,OK,0.1
2026-02-15T12:10:18.220Z,0,20.41,50,OK,0.1
2026-02-15T12:10:18.271Z,0,20.32,50,OK,0.1
2026-02-15T12:10:18.322Z,1,20.24,50,OK,0.1
2026-02-15T12:10:18.373Z,0,20.15,50,OK,0.1
2026-02-15T12:10:18.423Z,0,20.19,50,OK,0.1
2026-02-15T12:10:18.474Z,0,20.19,50,OK,0.1
2026-02-15T12:10:18.524Z,0,20.11,50,OK,0.1
2026-02-15T12:10:18.575Z,0,20.22,50,OK,0.1
2026-02-15T12:10:18.625Z,0,20.28,50,OK,0.1
2026-02-15T12:10:18.676Z,0,20.25,50,OK,0.1
2026-02-15T12:10:18.727Z,0,20.21,50,OK,0.1
2026-02-15T12:10:18.778Z,0,20.35,50,OK,0.1
2026-02-15T12:10:18.828Z,0,20.48,50,OK,0.1
2026-02-15T12:10:18.878Z,0,20.48,50,OK,0.1
2026-02-15T12:10:18.928Z,0,20.67,50,OK,0.1
2026-02-15T12:10:18.979Z,0,20.67,50,OK,0.1
