Timestamp,ActiveRequests,Lag_ms,VirtualLimit,Status
2026-02-07T10:37:52.172Z,0,25.06,50,OK
2026-02-07T10:37:52.222Z,0,19.55,50,OK
2026-02-07T10:37:52.273Z,0,20.24,50,OK
2026-02-07T10:37:52.323Z,0,20.15,50,OK
2026-02-07T10:37:52.374Z,0,20.21,50,OK
2026-02-07T10:37:52.425Z,0,20.54,50,OK
2026-02-07T10:37:52.475Z,0,20.24,50,OK
2026-02-07T10:37:52.526Z,0,20.26,50,OK
2026-02-07T10:37:52.577Z,0,20.49,50,OK
2026-02-07T10:37:52.628Z,0,20.28,50,OK
2026-02-07T10:37:52.679Z,0,20.23,50,OK
2026-02-07T10:37:52.730Z,0,20.49,50,OK
2026-02-07T10:37:52.780Z,0,20.34,50,OK
2026-02-07T10:37:52.831Z,0,20.79,50,OK
2026-02-07T10:37:52.882Z,0,20.42,50,OK
2026-02-07T10:37:52.933Z,0,20.14,50,OK
2026-02-07T10:37:52.983Z,0,20.39,50,OK
2026-02-07T10:37:53.034Z,0,20.36,50,OK
2026-02-07T10:37:53.084Z,0,20.29,50,OK
2026-02-07T10:37:53.135Z,0,20.76,50,OK
2026-02-07T10:37:53.185Z,0,20.18,50,OK
2026-02-07T10:37:53.235Z,0,20.07,50,OK
2026-02-07T10:37:53.285Z,0,20.26,50,OK
2026-02-07T10:37:53.335Z,0,20.59,50,OK
2026-02-07T10:37:53.385Z,0,20.19,50,OK
2026-02-07T10:37:53.435Z,0,20.67,50,OK
2026-02-07T10:37:53.485Z,0,20.21,50,OK
2026-02-07T10:37:53.535Z,0,20.37,50,OK
2026-02-07T10:37:53.585Z,0,20.29,50,OK
2026-02-07T10:37:53.635Z,0,20.38,50,OK
2026-02-07T10:37:53.686Z,0,20.21,50,OK
2026-02-07T10:37:53.736Z,0,20.72,50,OK
2026-02-07T10:37:53.786Z,0,20.19,50,OK
2026-02-07T10:37:53.836Z,0,19.85,50,OK
2026-02-07T10:37:53.886Z,0,20.30,50,OK
2026-02-07T10:37:53.936Z,0,19.29,50,OK
2026-02-07T10:37:53.987Z,0,20.36,50,OK
