Timestamp,ActiveRequests,Lag_ms,VirtualLimit,Status,Kp_Used
2026-02-07T11:41:22.679Z,0,48.27,17,OK,0.1
2026-02-07T11:41:22.729Z,0,34.18,16,OK,0.1
2026-02-07T11:41:22.779Z,0,29.50,15,OK,0.1
2026-02-07T11:41:22.829Z,0,20.28,16,OK,0.1
2026-02-07T11:41:22.879Z,0,20.41,17,OK,0.1
2026-02-07T11:41:22.929Z,0,20.29,18,OK,0.1
2026-02-07T11:41:22.979Z,0,20.16,19,OK,0.1
2026-02-07T11:41:23.029Z,0,20.11,20,OK,0.1
2026-02-07T11:41:23.079Z,0,20.24,21,OK,0.1
2026-02-07T11:41:23.129Z,0,20.17,22,OK,0.1
2026-02-07T11:41:23.179Z,0,20.11,23,OK,0.1
2026-02-07T11:41:23.229Z,0,20.02,24,OK,0.1
2026-02-07T11:41:23.279Z,0,20.07,25,OK,0.1
2026-02-07T11:41:23.330Z,0,19.93,26,OK,0.1
2026-02-07T11:41:23.380Z,0,20.05,27,OK,0.1
2026-02-07T11:41:23.430Z,0,20.00,28,OK,0.1
2026-02-07T11:41:23.480Z,0,20.20,29,OK,0.1
2026-02-07T11:41:23.530Z,0,20.25,30,OK,0.1
2026-02-07T11:41:23.580Z,0,20.36,31,OK,0.1
2026-02-07T11:41:23.630Z,0,20.34,32,OK,0.1
2026-02-07T11:41:23.680Z,0,20.29,33,OK,0.1
2026-02-07T11:41:23.730Z,0,20.50,34,OK,0.1
2026-02-07T11:41:23.780Z,0,20.45,35,OK,0.1
2026-02-07T11:41:23.830Z,0,20.30,36,OK,0.1
2026-02-07T11:41:23.880Z,0,20.09,37,OK,0.1
2026-02-07T11:41:23.931Z,0,20.26,38,OK,0.1
2026-02-07T11:41:23.982Z,0,20.47,39,OK,0.1
2026-02-07T11:41:24.032Z,0,20.26,40,OK,0.1
2026-02-07T11:41:24.082Z,0,20.25,41,OK,0.1
2026-02-07T11:41:24.132Z,0,20.34,42,OK,0.1
2026-02-07T11:41:24.182Z,0,20.53,43,OK,0.1
2026-02-07T11:41:24.232Z,0,20.23,44,OK,0.1
2026-02-07T11:41:24.282Z,0,20.09,45,OK,0.1
2026-02-07T11:41:24.332Z,0,19.96,46,OK,0.1
2026-02-07T11:41:24.382Z,0,20.17,47,OK,0.1
2026-02-07T11:41:24.433Z,0,20.26,48,OK,0.1
2026-02-07T11:41:24.483Z,0,20.38,49,OK,0.1
2026-02-07T11:41:24.533Z,0,20.50,50,OK,0.1
2026-02-07T11:41:24.583Z,0,20.42,50,OK,0.1
2026-02-07T11:41:24.634Z,0,20.47,50,OK,0.1
2026-02-07T11:41:24.684Z,0,20.38,50,OK,0.1
2026-02-07T11:41:24.734Z,0,20.23,50,OK,0.1
2026-02-07T11:41:24.784Z,0,20.17,50,OK,0.1
2026-02-07T11:41:24.834Z,0,20.19,50,OK,0.1
2026-02-07T11:41:24.884Z,0,20.35,50,OK,0.1
2026-02-07T11:41:24.934Z,0,20.43,50,OK,0.1
2026-02-07T11:41:24.984Z,0,20.37,50,OK,0.1
2026-02-07T11:41:25.034Z,0,20.41,50,OK,0.1
